Product_ID,Keyword,Type,Hierarchy_Level
346,Wayona,Brand,1
346,Nylon Braided,Type,2
346,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable,Type,2
346,Computers & Accessories,Category,1
346,Accessories & Peripherals,Category,2
346,Cables & Accessories,Category,3
346,Cables,Category,4
346,USB Cables,Category,5
848,Ambrane,Brand,1
848,Unbreakable 60W,Type,2
848,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable,Type,2
848,Computers & Accessories,Category,1
848,Accessories & Peripherals,Category,2
848,Cables & Accessories,Category,3
848,Cables,Category,4
848,USB Cables,Category,5
819,Sounce,Brand,1
819,Fast Phone,Type,2
819,Sounce Fast Phone Charging Cable,Type,2
819,Computers & Accessories,Category,1
819,Accessories & Peripherals,Category,2
819,Cables & Accessories,Category,3
819,Cables,Category,4
819,USB Cables,Category,5
643,boAt,Brand,1
643,Deuce USB,Type,2
643,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable",Type,2
643,Computers & Accessories,Category,1
643,Accessories & Peripherals,Category,2
643,Cables & Accessories,Category,3
643,Cables,Category,4
643,USB Cables,Category,5
588,Portronics,Brand,1
588,Konnect L,Type,2
588,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable,Type,2
588,Computers & Accessories,Category,1
588,Accessories & Peripherals,Category,2
588,Cables & Accessories,Category,3
588,Cables,Category,4
588,USB Cables,Category,5
771,pTron,Brand,1
771,Solero TB301,Type,2
771,pTron Solero TB301 3A Type-C Data and Fast Charging Cable,Type,2
771,Computers & Accessories,Category,1
771,Accessories & Peripherals,Category,2
771,Cables & Accessories,Category,3
771,Cables,Category,4
771,USB Cables,Category,5
761,boAt,Brand,1
761,Micro USB,Type,2
761,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable",Type,2
761,Computers & Accessories,Category,1
761,Accessories & Peripherals,Category,2
761,Cables & Accessories,Category,3
761,Cables,Category,4
761,USB Cables,Category,5
614,MI,Brand,1
614,Usb Type-C,Type,2
614,MI Usb Type-C Cable,Type,2
614,Computers & Accessories,Category,1
614,Accessories & Peripherals,Category,2
614,Cables & Accessories,Category,3
614,Cables,Category,4
614,USB Cables,Category,5
15,TP-Link,Brand,1
15,USB WiFi,Type,2
15,Computers & Accessories,Category,1
15,Accessories & Peripherals,Category,2
15,Cables & Accessories,Category,3
15,Cables,Category,4
15,USB Cables,Category,5
515,Ambrane,Brand,1
515,Unbreakable 60W,Type,2
515,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable,Type,2
515,Computers & Accessories,Category,1
